Continente;Ordem continente;País;Ordem país;UF;Ordem UF;Via de acesso;Ordem via de acesso;ano;Mês;Ordem mês;Chegadas
África;1;África do Sul;2;Acre;1;Terrestre;2;2015;janeiro;1;2
África;1;Angola;6;Acre;1;Terrestre;2;2015;janeiro;1;0
África;1;Cabo Verde;35;Acre;1;Terrestre;2;2015;janeiro;1;0
África;1;Nigéria;162;Acre;1;Terrestre;2;2015;janeiro;1;0
África;1;Outros países;998;Acre;1;Terrestre;2;2015;janeiro;1;0
América Central e Caribe;2;Costa Rica;53;Acre;1;Terrestre;2;2015;janeiro;1;0
América Central e Caribe;2;Cuba;55;Acre;1;Terrestre;2;2015;janeiro;1;0
América Central e Caribe;2;Guatemala;84;Acre;1;Terrestre;2;2015;janeiro;1;1
América Central e Caribe;2;Panamá;170;Acre;1;Terrestre;2;2015;janeiro;1;0
América Central e Caribe;2;Outros países;998;Acre;1;Terrestre;2;2015;janeiro;1;3
América do Norte;3;Canadá;38;Acre;1;Terrestre;2;2015;janeiro;1;4
América do Norte;3;Estados Unidos;68;Acre;1;Terrestre;2;2015;janeiro;1;9
América do Norte;3;México;148;Acre;1;Terrestre;2;2015;janeiro;1;2
América do Sul;4;Argentina;11;Acre;1;Terrestre;2;2015;janeiro;1;18
América do Sul;4;Bolívia;26;Acre;1;Terrestre;2;2015;janeiro;1;1163
América do Sul;4;Chile;42;Acre;1;Terrestre;2;2015;janeiro;1;35
América do Sul;4;Colômbia;48;Acre;1;Terrestre;2;2015;janeiro;1;17
América do Sul;4;Equador;63;Acre;1;Terrestre;2;2015;janeiro;1;9
América do Sul;4;Guiana Francesa;87;Acre;1;Terrestre;2;2015;janeiro;1;0
América do Sul;4;Paraguai;173;Acre;1;Terrestre;2;2015;janeiro;1;0
América do Sul;4;Peru;174;Acre;1;Terrestre;2;2015;janeiro;1;1690
América do Sul;4;Guiana;86;Acre;1;Terrestre;2;2015;janeiro;1;0
América do Sul;4;Suriname;217;Acre;1;Terrestre;2;2015;janeiro;1;0
América do Sul;4;Uruguai;234;Acre;1;Terrestre;2;2015;janeiro;1;5
América do Sul;4;Venezuela;238;Acre;1;Terrestre;2;2015;janeiro;1;5
Ásia;5;China;43;Acre;1;Terrestre;2;2015;janeiro;1;0
Ásia;5;Índia;113;Acre;1;Terrestre;2;2015;janeiro;1;1
Ásia;5;Israel;119;Acre;1;Terrestre;2;2015;janeiro;1;0
Ásia;5;Japão;122;Acre;1;Terrestre;2;2015;janeiro;1;0
Ásia;5;República da Coreia;184;Acre;1;Terrestre;2;2015;janeiro;1;1
Ásia;5;Outros países;998;Acre;1;Terrestre;2;2015;janeiro;1;2
Europa;6;Alemanha;4;Acre;1;Terrestre;2;2015;janeiro;1;3
